name,price,unit,category,tokopedia_link,shopee_link,siplah_link,blibli_link,inaproc_link,spec
Water Pump,5000000,Unit,Alat Peraga - Hortikultura,,,,,,"Mesin pemompa air untuk pengeringan kolam Penyemprot Semprot Nozel Springkler Timer Mesin Cuci Semprot Peralatan
irigasi tetes Bahan bakar: Bensin
Daya Hisap: approx. 7,5 meter Total Head: approx. 23 meter Kapasitas air: approx. 1100 liter per jam."
"Pompa Air 3""",5000000,Unit,Alat Peraga - Mek. Pertanian,,,,,,"Untuk mengairi sawah pertanian,dengan cara menyedot air dari sungai atau sumur ke lahan. Pompa air approx. 3"" dengan penggerak motor bensin dan selang air sedot maupun sisi buangan
- Total Head = approx. 23 meter
- Waktu penyedotan = approx. 150 detik/ 5 meter
- Ukuran selang ; approx. 3 inch/ 80 meter
- Motor penggerak : Mesin
Bensin approx. min. 5,5 HP/ 3.600 rpm"
Tabung Gas CO2,5000000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"Tabung ukuran min 1m3, lengkap dengan regulator, safety valve, selang"
Mesin Gergaji Skroll,5199000,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,"Untuk membuat macam-maca
m lubang Kecepatan  :  1400RPM, Daya:120  watt, Kapasitas  potong 50m,ukuran  mata scroll  125mm,  kemiringan  0-45
deraiat,  ukuran  meia 405mm"
GUNTING LISTRIK BULAT SERVO,5225000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,, Spesikasi: Menggunting bahan dalam jumlah banyak/tebal Maksimal ketebalan bahan 0.3 cm Daya 250 watt Tegangan input 220V
Grain Moisture Tester,5600000,Unit,Alat Peraga - Hortikultura,,,,,,"Untuk mengukur kadar air pada biji-bijian. Test object: nonmetallic granulated materials such as wheat, rapeseed, soybean, vegetable seed, corn, feed, etc. - Test range: 3-35% - Attached function: volume-weight conversion display, sample weight display, temperature display, average moisture content
calculation"
"Pond Bio
Filter + Pompa Air",5795000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"Bio filter: Kapasitas min 8.000 liter Volume filter 100 liter 2 chambers Media filter bio sponge (10 pcs) Dilengkapi lampu ultra violet 2 x 24 W (2 buah) Pompa air Max Output:
9000L/H Max Tinggi: 2.5M Daya: approx. 75W"
Timbangan Digital,5830000,Unit,Alat Peraga - Kesehatan Hewan,,,,,,"Untuk mengukur massa suatu bahan dengan ketelitian 0.1g Capacity : 10000 g. Resolution : 0.1 g.
Scale Pan Size : Approx. 170x140mm.
Power: DC 12V /6V
Temp Range: Room Temp to 75° C +/- 1° C Capacity: approx. 2 Liters (1 /2 gallon) Size Glass Tray (included): Min. 10"" (W) x
6.5"" (D) x 2"" (H) Overall Size: Min. 14"" x 14"" x 4"" Power Requirements: approx. 300W
( 11 0V, 60Hz)"
Timbangan digital,5830000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Untuk mengukur massa suatu bahan
dengan ketelitian
0.1 g, Capacity: 10000 G. Resolution : 0.1 G.Scale Pan Size : Approx. 175X145Mm.Power: Dc 12V /6V / 1.2Ah"
Mikroskop Monokuler,5995000,Unit,Alat Peraga - Olah Hasil  Ikan,,,,,,"Perbesaran minimum sampai 1500x • Mikroskop 1250X Perbesaran• Mechanical Stage• Lensa Okuler: SX, OX, 12.SX• Lensa Objective: lOX, 40X, lOOX• Filter Dish Blue• Iris Diaprahma• 2 Pencahayaan Alami & Listrik"
Water Heater,5995000,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk Memanaskan Air Untuk Mandi Cylinder Water Boiler, Getra, Wb- 10, 20 Liter,Max. Temperatur 75, Ada Thermostat, Ada Selang Spiral Untuk MenyalurkanAir"
Multifunction Blender,6000000,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk Mengaduk, Menggiling, Mencampur, Spesifikasi:Full Copper MotorCup Material: Food GradePower: Approx. 1.8 KwRotation Speed: Approx. 280O0RpmCapacity: Min. 1LVoltage: 220V / 50 Hz"
Mesin Gergaji table Saw,6400000,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,"Memotong  dan membelah
kayu Motor  induksi  2000watt,  ukuran  pisau 315mm,  kemiringan  0-45 derajat, berat  54kg,  bahan  body: metal"
MESIN OBRAS LOW SPEED,6412500,Unit,Alat Peraga - Keahlian Tata Busana,,,,,," Spesikasi: Mesin obras portable rumah tangga Obras benang 4 Hasil obrasan 1-4 mm Terdapat lampu LED untuk menerangi area jahitan Lebar obarasan maksimal 3-7.7 mm Maks. kecepatan jahit 1100 RPM Total power 90 watt Berikut dengan pedal injakan elektrik, adapator dan plastik mesin"
Shelving 5 shelf steel 1 side backplate,6500000,Unit,Alat Peraga - Kesehatan Hewan,,,,,,"Digunakan sebagai partisi ruangan yang berguna untuk menyimpan buku,dukumen, dan arsip lainya. Rak buku dengan sistem knock down yang mudah dirakit.
Memiliki 5 susun rak yang dapat diatur
jarak ketinggiannya raknya Dimension: approx. Ll 040 x W250 x
Hl800 mm
Material: sheet metal approx.
0.7 - 1.0
mm
Finishing : powder coating painting"
3 - Speed blower,6540000,Unit,Alat Peraga - Perhotelan,,,,,,"Untuk Mempercepat Proses Penperinpan Pada Karpet, Sofa, Dan ?antni Power: Approx. 900Y/, Voltage. 220—240V,Rotation Speed: Low,Medium, Hiya, 3 S Teps Air,Roin Rate, Cable Length:Approx. S M"
Plankton net,6600000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,Diameter bukaan: 30 cm tinggi: 100 cm diameter collect bottle: 250 ml Mesh size: mesh 200
Refraktometer,6895000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"Measuring range: Brix 0-53% Resolution: Sugar ( Brix) 0.1% Accuracy: Sugar ( Brix ) ±
0.2% Temperature compensation: l0°C-60°C"
Refraktometer,6895000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Untuk mengukur kadar atau konsentrasi bahan terlarut seperti gula,
garam, dll Measuring Range: Brix 0-53% Resolution:Sugar (Brix) 0.1% Accuracy: Sugar ( Brix) ± 0.2% Temperature Compensation:L0°C-60°C."
Mesin Jahit High Speed Manual,7053750,Unit,Alat Peraga - Keahlian Tata Busana,,,,,," Spesikasi: Mesin Jahit Jarum 1 Manual Tinggi Angkatan Sepatu 5.5 Mm (Tangan), 13 Mm (Kaki) Fungsi Backtack Otomatis Maks. Kecepatan Menjahit 5000 Rpm Terdapat Lampu Led Untuk Area Jahitan Hemat Listrik Daya 550 Watt Terdapat Kaki Dan Meja"
Las oxy-acetylene,7100000,Unit,Alat Peraga - Mek. Pertanian,,,,,,"Untuk mengenalkan dan memberi Keterampilan mengelas dan memotong logam dengan menggunakan gas oksigen dan
asetilin. Cutting welding torch set
02 Regulator C2H2 (acetylene) Regulator , Gas welding hose 6m, Gas welding connector and clamp, Flashback arrester.
Consist of :Oxy-acetylene welding torch set"
GUNTING LISTRIK TEGAK,7125000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,, Spesikasi: Gunting listrik tegak Berfungsi untuk mengunting bahan dalam jumlah banyak dan tebal Ukuran pisau 8 “ Tegangan input 220V Daya 550 watt Aksesoris 3 pcs pisau potong 8” Maks. kecepatan 2800 RPM Berat 17 kg Ukuran dimensi 76x40.5x32 cm
Kemmerer Water Sampler,7500000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"Bahan: Acrylic, bentuk bisa vertikal/ horizontal, kapasitas minimal 500 ml"
Vacuum Cleaner (W/D),7500000,Unit,Alat Peraga - Perhotelan,,,,,,Untuk Membersihkan Debu / Kotoran Yang Menempel Pada Karpet / Lantai Dalam Kondisi Basah Maupun Kering  Capacity: 20L Rated Power: 1 Kw Voltage: 220V-240V Cooling Mode: Circulating Air Cooling Length Of The Power Cord: 5MHose Diameter: 30 Mm
Mesin Lamelo (biscuit jointer),7850000,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,"Membuat lubang biskuit Daya:  700w,
Kecepatan:  11.000 rpm,  ukuran  mata pisau  : 4"", Jumlah  gigi:6, kedalaman potong:  22mm"
Ekman Grab,7900000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"Ukuran approx. 15 x 15 x 15 cm, bahan stainless"
Meja Komputer,7995000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,Digunakan Untuk Meletakkan Perangkat Komputer  Bahan : Plywood/Mdf/Kayu Ukuran : Min. 90X60X70 Cm
LCD Projector,8000000,Unit,Aksesoris Pendukung Komputer,,,,,,
Mesin Obras High Speed Manual 3/4/5 Benang,8075000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,," SpesiKasi: Mesin Jahit Obras Benang 3/4/5 High Speed Manual Maks. Kecepatan 6000 Rpm Tinggi Angkatan Sepatu 6 Mm Panjang Jahitan 3.8 Mm Lebar Jahitan 4 Mm Servo Motor 550 Watt Dilengkapi Kaki Meja, Meja, Aksesoris Standar Mesin Dan Buku Panduan Manual Tersedia 3 Tipe: N737 : Obras Benang 3 N747 : Obras Benang 4 N757 : Obras Benang 5"
Meja Qc Dan Finishing,8250000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,Digunakan Sebagai Alas Untuk Meletakkan Dan Memeriksa Pakaian/Hasil Jahitan Yang Sudah Jadi .Bahan : Besi/Kayu Dan Multipleks Ukuran : ± 120X80X170 Cmdilengkapi Saklar Dan Stand Untuk Meletakkan Panel/Papan Dan Lampu
Mesin Obras Lowspeed,8995000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,Untuk Penyelesain Tepi Jahitan Minimum 4 Thread. Integral Thread Cutter. Electronic Foot Controller. Adju Stable Stitch Length. Have Width Gauge.Speed Approx. 1200 Rpm. Total Power Max. 110W
MESIN JAHIT HIGH SPEED DIRECT DRIVE ,8995000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,"Untuk Menjahit Dengan Kecepatan Tinggi  Konfigurasi Minimal :Kecepatan Hingga 5000 Rpm, Motor Penggerak Langsung, Pemangkas Benang Otomatis, Pengangkat Kaki Presser Otomatis, Termasuk Meja/Dudukan."
"VHF
Transceiver",8995000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Digunakan sebagai alat komunikasi dengan menggunakan frekuensi VHF, untuk
komunikasi dengan stasiun radio pantai dan antar kapal pada kondisi normal dan darurat General: Frequency Stability:±L0Ppm;Frequency Control: Pll; Comm Port: 4800Baud Nmea 0183; Gps Data SentencesCan Be Received: Rmc, Gga, Gll, Gns;Nmea Output Sentences: Dsc (For DscCall), Dse (For Enhanced Position);- Transmitter Frequency: 156.025-157.425 Mhz; Output Power: Approx. 25W / 1 W Selectable;- Receiver:Frequency: 156.025- 163.275 Mhz;- Include Approx. 1.2M Vhf Antenna And Cable WithConnector"
Drip Irrigation System,9495500,Unit,Alat Peraga - Mek. Pertanian,,,,,,"Untuk pengairan Luas area yg dicakup : 150 m2 Pipa utama: size 32 - 160 mm PVC size 1 - 6 inch Pipa infus diameter 16 mm Mini valve : 16 mm Katup pelepas udara : 1/2 - 2 inch Saluran cabang : Drip line
: 20 mm, 16 mm, 12 mm, 6 mm
Drip tape : 16 mm, 12 mm"
Continous band sealer,9500000,Unit,Alat Peraga - Olah Hasil  Ikan,,,,,,"Kapasitas meja konveyor : maks. 3 kg.Lebar penyegelan: ±1,2 cm Suhu : 0-300 °CDaya : ± 500 watt Kecepatan : 0- 21 ml menit"
Alat Bedah Mayor (mkv mayor Set/veterinary surgical kit),9600000,Unit,Alat Peraga - Kesehatan Hewan,,,,,,"Untuk alat bedah hewan. Satu Set Sekurang-Kurangnya Terdiri Dari:1 Pc Plaster Of Paris Scissors.2 Pcs Chopper Scissors Straight 2 Pcs Rochester Pean, Straight 2 Pcs Rochester Pean, Curved 2 Pcs Anatomic Forceps 2 Pcs Dressing Forceps1 Pc Needle Holder Mayo 1 Pc Needle Holder Mathieu 1 Pc Trocar With Canulla 2 Pcs Scalpels Knife 1 Pc Suture Needle Pack Of 10 1 Pc Silk Real1 Pack Of 49 Disposable Glove,100 / Pk 1 Pc Towel 1 Pc Soap Completed Kit In Steel Box With Removeable Tray."
MKV Mayor Set/ Veterinar y Surgical Kit (Alat Bedah Mayor),9600000,Unit,Alat Peraga - Kesehatan Hewan,,,,,,"Untuk alat bedah hewan. Satu Set Sekurang-KurangnyaTerdiri Dari:1 Pc Plaster Of Paris Scissors2 Pcs Chopper Scissors Straight2 Pcs Rochester Pean, Straight1 Pc Needle Holder Mayo1 Pc Needle Holder Mathieu"
Rak Linen,9900000,Unit,Alat Peraga - Perhotelan,,,,,,"Untu/C Mefetn/Cknn Pakaian Hnsif Fnundy / Seterika Drin Peralatan / Aksesoris Lnundry Bnhnn : Besi Dun Hays /MultipleksTerdiri Dari 4 Tingkat, Dengan Masing-Masinq Sisi TerbukaSize: Ruin. 2400x 60Ox1200"
Meat Slicer,9995000,Unit,Alat Peraga - Perhotelan,,,,,,Untuk Memotong Daging Overload Protection Motor Come With Extra Plate Arid Knife. Productivity: Approx. 120Kg/ HPower: Approx. 850wMaterial: Stainless Steel
Bain Marie,10000000,Unit,Alat Peraga - Perhotelan,,,,,,Digunakan untuk memanaskan makanan dengan direndam air panas Material: S Taimes S SteelMin. 2 Pans Dimension. Ruin. S!Sox33Ox2 ToPover: Approx. 1.6 Kw Voltage: 22Ov / 3Ohz
Soil Driller Kit,10250000,Unit,Alat Peraga - Hortikultura,,,,,,"Untuk membuat lubang pada tanah dan mengarnbil sampel tanah pada kedalarnan tertentu. Soil depth: Maximum 2 m. Accessories: 1 brush, 1 spanner, 1
tape on 3 meters, 1 scraper, 1
handle, 1 head, and 4 tubes"
Soil Driller Kit,10250000,Unit,Alat Peraga - Perbenihan Tanaman,,,,,,"Untuk membuat lubang pada tanah dan mengambil sampel tanah pada kedalaman
tertentu. Soil depth: Maximum 2 m. Accessories: 1 brush, 1 spanner, 1
tape on 3 meters, 1 scraper, 1
handle, 1 head, and 4 tubes."
Portable Circular Saw,10995000,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,"Untuk memotong  dan membelah balok dan papan  kayu Voltage/Frequency: 220 V -  50  HZ Input  power:± 1300 W
No  Load  speed:  ± 4700  rpm Bevel cut: 0 -  45°
Cutting capacity: 90°@ 65 mm, 45°@ 45mm"
"SART
(Search
and Rescue Radar Transponde r)",10995000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Se bagai salah satu isyarat
bahaya kelengkapan GMDSS. Tx Frequency: 9.2 - 9.5 Ghz Polarization:Horizontal Radiated Power: Approx.400Mw E.I.R.P Receiver Sensitivity:Approx. - 50Dbm Battery Voltage: Dc 7.2VFloating Type: Floatable Include:- Transponder- Tele-Pole"
Freezer,11100000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"Konfigurasi approx. kapasitas sampai dengan 200 liter Metode pendinginan: Pendinginan udara Suhu: -15
~ 0 Tegangan: 220V 50Hz"
Hollow Chissel Mortiser,11200000,Unit,Alat Peraga - Keahlian Kriya Kreatif Kayu dan Rotan,,,,,,"untuk membentuk sudut  siku dalam Chissel size : 6-25,4  mm; Depth  of  mortise  : 60-75 mm;
Vertical  movement  of  table:  280 mm; Longitudinal  movement  of  table:  110 mm; Cross traverse  of table:  >  60  mm; Spindle  speed  50 Hz:  2860  rpm."
Seed Neatness Workbench,11500000,Unit,Alat Peraga - Hortikultura,,,,,,"Untuk melihat dan memilih benih (tidak tercampur
dengan varietas lain, kotoran maupun benih yang rusak) guna
menjaga kualitas varietas unggul Magnification: 0-7 X Surface size: min. 300 x 300 mm table base size: min. 900 x 300 mm Luminous panel size: min. 250 x
250 mm"
Penangas Air (Water Bath),11500000,Unit,Alat Peraga - Kesehatan Hewan,,,,,,"Untuk menyimpan media (yang digunakan untuk analisa dengan teknik tuang/pure plate) agar media tetap dalam kondisi leleh/ cair. Dilengkapi Dengan Pengatur SuhuDan Pengatur Waktu Electrical Requirements: 22O V/5OHz/ ±300 W Temperature Range: 5-99""CTemperature Stability: +0.5""CTiming Range: 1-9999 MinDouble Column And +6 Holes"
Waterbath,11500000,Unit,Alat Peraga - Kesehatan Hewan,,,,,,"Untuk memekarkan irisan jaringan dengan pengaturan suhu tertentu Temp Range: Room Temp to 75'
C +/- 1' C Capacity: approx.2
Liters (7
/2 gallon) Size Glass
Tray (included): Min. 10"" (W) x
6.5"" (D) x2"" (H) Overall Size:
Min. 14"" x 14"" x 4"" Power
Requirements: approx. 300W
(110V, 6OHz)"
Seed Neatness Workbench,11500000,Unit,Alat Peraga - Perbenihan Tanaman,,,,,,"Untuk melihat dan memilih benih (tidak tercampur dengan varietas lain, kotoran maupun benih yang rusak) guna menjaga kualitas
varietas unggul Magnification: 0-7 X
Surface size: min. 300 x 300 mm table base size: min. 900 x 300 mm Luminous panel size: min. 250 x 250mm"
Mesin Bordir Manual,11957647.06,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,Untuk Menjahit Biasa Dan Untuk Membuat Hiasan Sulam (Bordir). Meja Putih Triplek Formika Anti Gores Kaki Besi Model T Dinamo Servo Motor 100-550 Watt
PABX,11995000,Unit,Alat Peraga - Perhotelan,,,,,,"UntukMenyambungkan/Comuni/Casi Tefepon Atau Interpon/ Intercom Yang Terletak Di StsiPelanggari Kapas Itas Bas Ic (3 Fine + 8 Extensions, Biiiff—Tn Disa / Mess Age On Busy, Extension Caller Id, Re Inote Modern Dam Usb Port"
"Meja Kerja atau Desk
Single Drawer",12000000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Ukuran memadai untuk bekerja di meja
dengan nvaman Dimensi 900 x 500 x 450 mm, material
MFC"
Basket Gas Fryer,12000000,Unit,Alat Peraga - Perhotelan,,,,,,Untuk melakukan penggorengan dengan metode celup Body: Stainless Steel
Desikator,12500000,Unit,Alat Peraga - Olah Hasil  Ikan,,,,,,"Volume: 18,5 Liter. ID bibir : 332mmOD bibir: 380mm +/- 2Diameter: 300mm (30cm) Tinggi: 420mm (42cm)"
Concierge Counter,12500000,Unit,Alat Peraga - Perhotelan,,,,,,"Tempat Resepsionis Berbahan Partikel Board
Finishing Melamine PVC I
meja respsioni.st,
Lemai arsip"
Biological Microscope,12600000,Unit,Alat Peraga - Kesehatan Hewan,,,,,,"Untuk melihat benda / makhluk hidup yang berukuran  Viewing Head: 30 Degree Inclined,360 Degree Rotation.Magnification: 4Ox- 1 OooxEyepiece: Wfiox, Fov= 18Mm.Nosepiece: Quadruple Click-Stop.Plan Acromatic Objectives: 4X, 10X,40X(S), 1Oox(S,Oil).Stage: Mechanical Stage, Size:Minimum 135 X 135 Mm.Travel Area 40 X 60 Mm With A Right-Hand Stage Handle.Condenser: N.A.= I.25 With IrisDiaphragm.Focusing: Coaxial Coarse/FineFocusing Knobs.Illumination: Built-In IlluminatorSystem, Halogen 6V-20W."
Mikroskop Biologis (Biological Microscope),12600000,Unit,Alat Peraga - Kesehatan Hewan,,,,,,"Untuk melihat benda I makhluk hidup yang berukuran sangat kecil. Konfigurasi minimal : Tampilan kepala: 30 derajat miring, rotasi 360 derajat Lensa mata: WF1OX dengan FOV = 18mm
Rentang pembesaran: 40X-1000X
Kondensor: N.A.=1.25 dengan Iris Diafragma
Area jangkauan minimal: 35 X
55 mm dengan pegangan panggung sebelah kanan Rentang Skala Acromatic: 4x, 1Ox, 40x, 100x
Tahap mekanis, Ukuran: minimal 100 x 100 mm Pemfokusan: Tombol pemfokusan kasar /halus koaksial
Penerangan: Sistem iluminator internal, minimal halogen
6V-20W
Nosepiece: Berhenti klik empat kali lipat"
Microscope Binocular,12600000,Unit,Alat Peraga - Olah Hasil  Ikan,,,,,,"Viewing head: 30 degree inclined,360 degree rotation. Magnification: 40X ~1000X Eyepiece: WF1OX, FOV=18mm. Nosepiece: quadruple click-stop. Plan acromatic objectives: 4x, 1Ox, 40x(s),100x(s,oil).Stage: mechanical stage,Size: Minimum 135 x 135 mm. Travel area 40 X 60 mm with a right-hand stage handle.Condenser: N.A.=1.25 with Iris Diaphragm.Focusing: coaxial coarse/fine focusing knobs.system, halogen 6V-20W. Illumination: built-in illuminator"
Mikroskop,12600000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"Viewing Head: 30 degree inclined, 360 degree rotation. Magnification: 40X~ l000X Eyepiece: WFl0X, FOV=18mm. Nosepiece: Quadruple click-stop. Plan Acromatic objectives: 4x, l0x, 40x(s), l00x(s,oil). Stage: Mechanical stage, Size: min. 135 x 135 mm. Travel area 40 X 60 mm with a right-hand stage handle. Condenser: N.A.=1.25 with Iris Diaphragm. Focusing: Coaxial coarse/fine focusing knobs.
Illumination: Built-in illuminator system, halogen 6V-20W."
MIKROSKOP BIOLOGIS (BIOLOGICAL MICROSCOPE),12600000,Unit,Alat Peraga - Perbenihan Tanaman,,,,,,"Untuk melihat benda / makhluk hidup yang berukuran sangat kecil. Konfigurasi minimal :
Tampilan kepala: 30 derajat miring, rotasi 360 derajat
Lensa mata: WF1OX dengan FOV = 18mm
Rentang pembesaran: 40X-1000X Kondensor: N.A.= 1.25 dengan Iris Diafragma
Area jangkauan minimal: 35 X 55 mm dengan pegangan panggung sebelah kanan
Rentang Skala Acromatic: 4x, l0x, 40x, l00x
Tahap mekanis, Ukuran: minimal 100 x 100 mm
Pemfokusan: Tombol pemfokusan kasar /halus koaksial Penerangan: Sistem iluminator
internal, minimal halogen 6V-20W
Nosepiece: Berhenti klik empat kali lipat"
Zoom Stereo Microscope,12750000,Unit,Alat Peraga - Hortikultura,,,,,,"Untuk melihat benda / makhluk hidup yang berukuran kecil. Viewing Head: 45 degree inclined, 360 rotatable binocular head.
Eyepiece: WF l0X with 20 mm view field. Zoom Objective Lens: 0.7X-4.SX. Total Magnification: 7X
- 45X. Focusing: pinion and rack, controlled by knobs on both sides. Plate: Frosted glass and working stage. Illumination: Reflecting &
transmitted illumination, LED lamp."
Zoom Stereo Microscope,12750000,Unit,Alat Peraga - Perbenihan Tanaman,,,,,,"Untuk melihat benda / makhluk hidup yang berukuran kecil. Viewing Head: 45 degree inclined, 360 rotatable binocular head.
Eyepiece: WF l0X with 20 mm view field.
Zoom Objective Lens: 0.7X~4.5X. Total Magnification: 7X ~ 45X. Focusing: pinion and rack, controlled by knobs on both sides. Plate: Frosted glass and working stage.
Illumination: Reflecting &
transmitted illumination, LED lamp."
Lemari Es,12995000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"New Shine Magneglas Series Big Fresh Room Tempered Glass Tray LED Lamp Ice Twist Big Crisper Low Wattage and Voltage No frost Kapasitas
approx.256 Liter"
Gunting Listrik Tegak,12995000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,,"Gusting Kain Listrik Tegak Teknologi Baru Dan Canggih Untuk Memastikan Pemotongan Terbaik, Bahkan Untuk Bahan Tipis Sekalipun Panjang Pisau : 5”Kapasitas Potong : 3"" Berat : 9Kg Tegangan : 22Ov Output : 200W"
"CB
Transceiver",12995000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,Digunakan sebagai alat komunikasi dengan menggunakan frekuensi CB General: Frequency Range: All 240 CbChannels; 26.065 To 28.755 Mhz;Frequency Control: Phase Lock Loop (Pll) Synthesizer; -Receiver: Sensitivity: Ssb/Cw: 0.25µv For10Db (S+N) / N At Greater Than 1/2 Watt OfAudio Output; Am: Output;Fm:Audio; Selectivity: Am/Fm
Meja Proses,13000000,Unit,Alat Peraga - Kesehatan Hewan,,,,,,"Untuk tempat penanganan ternak. Meja TalenanDimensi: Approx. 12O X 60 X 9O CmBahan: Stainless SteelHolo Approx. 5O X 5O Tebal 1,2 MmHolo Approx. 5O X 25 Tebal 1,2 RrrrnChopping Block/ Talenan Polyethylenen Tebal Approx. 5 Cm, UkApprox. 6O X 60 Cm"
Cultivation,13500000,Unit,Alat Peraga - Hortikultura,,,,,,"Untuk persiapan tanam di lahan kering. Tenaga penggerak : motor bensin. Daya mesin penggerak ± 5,5 HP/ 3.600 rpm. Dilengkapi dengan 3 macam model blade/ pisau."
Mesin Jahit High Speed Computerized,13775000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,," SpesiKasi: Mesin Jahit Jarum 1 Direct Drive Otomatis Terdapat Fungsi Potong Benang Otomatis Tinggi Angkatan Sepatu 5.5 Mm (Tangan), 13 Mm (Kaki) Fungsi Backtack Otomatis Maks. Kecepatan Menjahit 5000 Rpm Terdapat Lampu Led Untuk Area Jahitan Hemat Listrik Daya 550 Watt Terdapat Kaki Dan Meja"
Thurbidity meter,13895000,Unit,Aksesoris Pendukung Komputer,,,,,,
Pengukur Kekeruhan(Turbidity Meter),13895000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,"approx.: 90 ° cahaya tersebar Pembacaan minimum (NTU):
0,1 Rentang pengukuran approx. (NTU): 0-100/0-200"
Thurbidity meter,13895000,Unit,Alat Peraga - Kapal Penangkap Ikan,,,,,,"Untuk mengukur kekeruhan cairan Minimum Principle : 90°scattered light
Minimum readout (NTU) : 0.01 Minimum
measuring range (NTU) :
0-100/0-200."
"Pompa Air 4""",13995000,Unit,Alat Peraga - Mek. Pertanian,,,,,,"Untuk mengairi sawah pertanian,dengan cara menyedot air dari sungai atau
sum ur ke lahan Motor penggerak : Mesin Diesel approx. Min. 8,5 HP
penggerak motor diesel dan selang
air sedot maupun sisi buangan Pompa air approx. 4"" dengan"
Mixer Bakery(Planetary Mixer),13995000,Unit,Alat Peraga - Olah Hasil  Ikan,,,,,,Power: ±300 Watt.Kapasitas: ±7 L
Sechhi disk,13995000,Unit,Alat Peraga - Perikanan Air Tawar,,,,,,20 cm diameter secchi disc is made of Sintra® PVC Type : Limnological Weighted Secchi Disc
Mixer Bakery / Planetary Mixer,13995000,Unit,Alat Peraga - Perhotelan,,,,,,Untuk Mencampur Adonan Kapasitas: +7 L Power +3O0 Watt
Gas Salamander,14000000,Unit,Alat Peraga - Perhotelan,,,,,,Alat memasak bagian atas hidangan menjadi renyah Poi Er: Using Gas MinimumHeatFlux: 9 Kw/ Li Material Body.Stainless Steel
Timbangan Analitik,14250000,Unit,Aksesoris Pendukung Komputer,,,,,,
Analitycal Balance,14250000,Unit,Alat Peraga - Hortikultura,,,,,,"Digunakan untuk mengukur massa suatu bahan/benda dengan ketelitian yang tinggi yaitu
0.1 mg. Kapasitas : Minimal 200 gram. Skala Ukuran Pan : Dia. kira-kira 75mm.
Resolusi: 0, 1 mg."
Analitycal Balance/Neraca Analitik,14250000,Unit,Alat Peraga - Perbenihan Tanaman,,,,,,"Digunakan untuk mengukur massa suatu bahan/benda
dengan ketelitian yang tinggi yaitu
0.1 mg. Kapasitas : Minimal 200 gram. Skala Ukuran Pan: Dia. kira-kira 75mm.
Resolusi: 0, 1 mg."
polisher machine,14300000,Unit,Alat Peraga - Perhotelan,,,,,,"I-Untuk Pernmatnn Fnntni, Meliputi Pembersihan, Pemolesnn, DanPemberian Max Pover: Approx. 1 100W, Voltage. 22Ov, Base Plate Diameter. Approx. 14”,Speed: Approx. 140Rpm/ Min"
GUNTING LISTRIK TEGAK SERVO,14440000,Unit,Alat Peraga - Keahlian Tata Busana,,,,,, Spesikasi: Gunting listrik tegak servo Berfungsi untuk mengunting bahan dalam jumlah banyak dan tebal dengan kecepatan bisa diatur Ukuran pisau 8 “ Tegangan input 220V Daya 550 watt Aksesoris 3 pcs pisau potong 8” Maks. kecepatan 4500 RPM Berat 17 kg Ukuran dimensi 76x40.5x32 cm
